abstract,authors,en_abstract,en_keywords,en_title,keywords,pdf_url,title,url
"摘要:提出了面向行人导航的地标链生成方法,将地标信息引入行人导航过程。描述了有向通视图构建与地标链生成算法,并以武汉大学为实验数据进行了算法实现。结果表明,地标链能以有限的地标影像提供路径引导信息,为行人导航提供一种行之有效的导航手段。",Keywords:pedestriannavigation/LBS/landmark/orientedvisibilitygraph,"Abstract:Landmarksarepredominantspatialfeaturesandplayanimportantroleinpedestriannavigation.Thispaperproposesanovelapproach,landmarkChain,toincludelandmarkinformationinpedestriannavigationapplications.Thisapproachisabletogenerateimagesequencesoflandmarksforrouteguidancebasedonorientedvisibilitygraph.AnalgorithmusedfororientedvisibilitygraphconstructionandlandmarkChaingenerationisdescribed.Resultsshowthattheproposedapproachisabletoprovideguidanceinformationbyusingimagesequenceswithlimitednumberoflandmarkimages.",,AnApproachofGeneratingLandmarkChainforPedestrianNavigationApplications,关键词:行人导航/基于位置服务/地标/有向通视图,,面向行人导航的地标链生成方法,http://ch.whu.edu.cn:80/article/id/1091
"摘要:根据SAR干涉测量原理,以配准偏移量为观测值,采用非线性最小二乘迭代法对干涉对的基线进行估计,并以ENVISAT卫星在西藏地区获取的两景SAR数据为例,对此基线估计算法进行实验验证。结果表明,该算法能有效地估计基线,减小轨道不精确带来的误差,在一定程度上提高InSAR生成DEM的精度。",Keywords:co-registrationoffsets/baselineestimation/least-square/DEM,"Abstract:Inthispaper,anewbaselineestimationmethodbasedontheprincipleofSARinterferometryisproposed.Itusesco-registrationoffsetsandnon-linearleastsquarealgorithmtoestimatetheinterferometricbaseline.WeapplyittoestimatingthebaselineoftwoENVISATSLCimagescoveringTibet,China.Theresultsdemonstratethatthealgorithmcaneffectivelyestimatethebaseline,reducetheerrorsduetotheinaccurateorbitsdataandthereforeimprovetheaccuracyofDEMgeneratedbyInSAR.",,InSARBaselineEstimationBasedonCo-registrationOffsets,关键词:配准偏移量/基线估计/最小二乘/DEM,,基于配准偏移量的InSAR基线估计,http://ch.whu.edu.cn:80/article/id/1090
"摘要:针对图像上划痕等小区域的恢复问题,提出了一种顾及边缘的各向异性马尔可夫随机场修复模型,并采用模拟退火算法实现解算。对不同类型的图像进行了修复实验,获得了较好的修复效果。",Keywords:Markovrandomfields/imageinpainting/simulatedannealing/anisotropic,"Abstract:Thegoalofimageinpaintingistorestorethedamagedormissingpixelsonimagesandnowitisahot-pointresearchtopicinimageengineering.Inordertorestorenarrowgapsondamagedimages,weproposeatypeofanisotropicinpaintingmodelbasedonMarkovRandomFields.TheinpaintingmodelcanpreservetheedgedandorientationaltextureandweimplementourmethodusingSimulatedAnnealingalgorithm.Experimentsshowthattheproposedmethodcanobtaingoodresultsandispracticalinapplications.",,AnisotropicImageInpaintingModelBasedonMRF,关键词:马尔可夫随机场/图像修复/模拟退火/各向异性,,基于MRF的各向异性图像修复模型,http://ch.whu.edu.cn:80/article/id/1089
"摘要:基于GIS空间数据模型和多智能体,研究了一种多智能体协作动态路况信息服务系统,通过智能体之间的协作预测路网交通流量在时间和空间的分布,提供更贴近实际状况的诱导路径。在此基础上,基于Swarm平台和Java语言开发实现了实验原型系统,利用实验数据进行实例模拟,对实验结果进行了分析,并对后续的研究工作提出了展望。",Keywords:Agent/trafficinformationservice/transportationsimulation/dynamictrafficinformation,"Abstract:Theexistingdynamictrafficinformationisreleasedforwidelyaudience.Ifmostoftheparticipantswhoarethedriversreceivingtheinformation,aretousethedynamictrafficinformationtoplanreal-timetravelroutes,theoveralltrafficsystemisboundtocausealargerdisturbance,andanewcongestionpointcomeintobeingatthesametimeavoidingtheexistingtrafficpoint.Inthispaper,wedevelopmentadynamictrafficinformationservicessystembasedoncollaborativemulti-agentsinordertogetthebettertravelpaththroughenhancingtheinteractionandcollaborationbetweentheinformationprovidersandtravelers.Aexperimentalprototypesoftwareisdesignedandreleasedbasedontheswarmplatformandjavalanguage,andsomeexperimentsaredoneandgetsomeresults.",,SimulatingDynamicRoadInformationServicesSystemBasedonMulti-agents,关键词:Agent/路况信息服务/交通仿真/动态路况信息,,基于多Agent的动态路况信息服务系统仿真研究,http://ch.whu.edu.cn:80/article/id/1088
"摘要:提出了利用同一研究区不同时相且无地质灾害发生情况下数字高程模型(DEM)的差异来计算冰雪覆盖体量变化的方法。设计实现了两种DEM主要表达形式(规则格网DEM和TIN)的冰雪覆盖体量变化计算方法,提出基于三维道格拉斯-普克算法的DEM数据综合方法,减少离散点数量,从而提高建立TIN网的速度以及体积变化计算速度。最后以天山乌鲁木齐河流域数据为例对两种计算方法进行了实验验证。",Keywords:volumechange/generalizationofDEM/3DDouglas-Peuckeralgorithm,"Abstract:ThispaperfirstlysuggestsamethodofcalculatingthevolumechangeofthefirnbasedontheDEMdatasetswhichareforthesamearea,acquiredatthesameseason,butindifferentyears,andduringthisperiodnoobviousgeologicaldisastersoccurredinthestudyingarea.Secondly,twomethodsforcalculatingthevolumechangeofthefirnareintroduced:oneisbasedontheregularsquaregrids(RSG),anotherusesthetriangulatedirregularnetwork(TIN).TheverificationexperimentscalculatedfromthesameoriginalDEMdataacquiredin1962and1990respectivelyforthedrainageareaofUrumchiRiverBasininTianshanMountainareintroducedandhaveprovedthatitisfeasibleandaccuratetocalculatethefirn'svolumechangeinthestudyareausingDEMsofdifferenttimephaseswherenoobviousgeologicaldisastershaveoccurred.",,AnApproachonCalculatingFirnVolumeChangefromMulti-temporalDEMs,关键词:冰雪体量变化/DEM综合/三维道格拉斯-普克算法,,利用多时相DEM数据的冰雪覆盖体量变化计算方法研究,http://ch.whu.edu.cn:80/article/id/1087
"摘要:提出了基于交互最小二乘优化的高光谱影像端元光谱计算方法,利用ALS计算的灵活性将多种对组分丰度和被估计光谱的约束条件加入到ALS迭代计算中,以传统算法得到的端元光谱作为初始,并考虑数据的特殊性建立了适合于高光谱影像的端元分析方法。模拟数据分析和Cuprite矿区的光谱分析结果证明了本文算法能很好地处理不严格假设纯光谱存在情况下的端元提取问题。",Keywords:mixedpixel/endmemberextraction/ALS/hyperspectralimagery,"Abstract:Endmemberextractionisveryimportantinmixedspectralanalysis,whichaimstoidentifythepuresourcesignalfromthemixture.Inthepastdecade,manyalgorithmshavebeenproposedtoperformthisestimation.Onecommonlyusedassumptionisthatalltheendmembershavepurepixelrepresentationinthescene.Whensuchpixelsareabsent,thesealgorithmscanonlyreturncertainpixelsthatareclosetotherealendmembers.Toovercomethisproblem,wepresentapurespectralcalculationmethodwithoutthepurepixelassumptionforhyperspectralimageanalysis.Themethodisbasedonthealternativeleastsquareoptimization,foritsflexibilityincontainingseveralconstraintsforabundanceandspectral,whichreferstononnegative,equality,closure,normalizationandsimplexvolumeconstraints.Thereareotherthreeproblemsareexploited:First,thetraditionalendmemberalgorithmsareusedforinitialization;Second,spatialredundancyreductionisincludedinthepreprocessprocedure.TheexperimentalresultsbasedonsynthetictoyexampleandCupritemineareahyperspectralscenedemonstratethattheproposedmethodcanhandlethepurepixelsabsentproblemverywell.",,EndmemberAnalysisforHyperspectralImageryBasedonAlternativeLeastSquareOptimization,关键词:混合像元/端元提取/ALS/高光谱影像,,基于交互最小二乘优化的高光谱影像端元光谱分析,http://ch.whu.edu.cn:80/article/id/1086
"摘要:利用深圳实验区4种不同传感器获取的遥感数据,通过CART算法进行城市ISP估算。讨论了多光谱遥感数据的不同波段在ISP估算中的重要性,比较了针对三种不同中分辨率影像建立的ISP估算模型在性能上的差异。实验结果表明,近红外波段对ISP估算结果的贡献最大,具有较高空间分辨率和成像辐射质量的遥感影像得到的估算结果精度较高,所有的估算结果均在实际ISP分布范围的两端分别存在着高估和低估的现象。",Keywords:multi-sourceremotesensingdata/impervioussurface/classificationandregressiontree(CART)/predictionmodel,"Abstract:Inthisarticlelarge-areaimpervioussurfacemappingiscarriedoutwithintheShenzhenurbanareabyemployingtheCART(classificationandregressiontree)methodwithremotesensingdataacquiredby4satellites.Theexperimentalresultsshowthatnear-infrared(NIR)bandisofmostimportanceforISPestimation.Anotherconclusionisthathigherestimationaccuracycanbeobtainedwithmultispectralimageryofhigherspatialresolutionandbetterradiometricquality.However,anunfavorablephenomenoncanbeconsistentlyobservedfromallresultsthatover-estimationandunder-estimationdoexistaroundthelowerandupperboundofactualISPvaluerangerespectively.",,EstimatingUrbanImperviousSurfacePercentagewithMulti-sourceRemoteSensingData,关键词:多源遥感数据/不透水面/分类回归树/预测模型,,利用多源遥感数据进行城市不透水面覆盖度估算,http://ch.whu.edu.cn:80/article/id/1085
"摘要:为了使融合影像能够最大限度地保持原始多光谱影像的光谱特征,同时又能尽可能地提高融合影像的空间分辨率,引入了模拟人眼视觉机理的高斯尺度空间技术,提出了一种基于高斯影像立方体的空间投影融合方法。该算法在避免光谱扭曲的同时,又能提高融合影像的空间分辨率。采用QuickBird遥感影像进行的实验结果表明,本方法在光谱偏差指数、相关系数、UIQI、ERGAS、运行时间、主观视觉感受等指标上较传统方法有显著优势。",Keywords:Gaussianscalespace/Gaussianimagecube/spatialprojection/imagefusion,"Abstract:Tomakesurethatthefusedmultispectralimagekeepsgreatlythespectralcharacteristicsoftheoriginalmultispectral(MS)imageandmostlikelytoimprovethespatialresolution,thispaperintroducesthetechnologyofGaussianscalespacethatcansimulatethemechanismofhumanvisualandproposesaspatialprojectionmethodbasedonGaussianimagecube.TheproposedmethodcanimprovethespatialresolutionofthefusedMSimageeffectively,whileitcanmakelittlespectrumdistortiontothefusedimages.TheexperimentalresultsoffusingQuickBirdremotesensingimagesshowthat,comparingtotraditionalmethods,themethodproposedinthispaperhasadistinctadvantageinsubjectivevisualexperience,spectraldeviation,correlationcoefficient,UIQI,ERGASandRun-timeindicators.",,ANewSpatialProjectionImageFusionMethodBasedonGaussianImageCube,关键词:高斯尺度空间/高斯影像立方体/空间投影/影像融合,,一种基于高斯影像立方体的空间投影融合方法,http://ch.whu.edu.cn:80/article/id/1075
"摘要:基于遥感定量化干旱监测结果,进行了干旱预测的研究。将遥感获得的条件植被温度指数VTCI序列应用于陕西关中平原地区,并利用ARIMA模型对该地区的VTCI时间序列进行分析建模预测。提出由点到面的时空序列预测方法,先对该区域的36个气象站所在像素点建立适合的ARIMA模型,再对整个区域所有像素点的VTCI时间序列进行建模预测。进行1步和2步预测,显示预测结果较好,1步预测精度好于2步预测;对历史数据进行AR(1)模型的拟合,拟合误差大部分较小。结果显示AR(1)模型适合VTCI序列。",Keywords:vegetationtemperatureconditionindex/ARIMAmodel/droughtforecasting/forecastingerrors/simulatingerrors,"Abstract:Thedroughtforecastingmodelsisdevelopedusingthetimeseriesofthequantitativedroughtmonitoringresultsofvegetationtemperatureconditionindex(VTCI)intheGuanzhongPlainofNorthwestChina.Theautoregressiveintegratedmovingaverage(ARIMA)isusedtosimulatetheVTCIseriesofeachpixelandforecasttheirchangesinthefuture.Anewwayofmodelingthespatio-temporalseriesispresentedbyextendingoftheforecastingmodelsofsomepixelstothewholearea.TheAR(1)modelsaresuitableforallVTCIseriesofthe36pixels.Therefore,theAR(1)modelsareappliedtoeachpixelofthewholearea,andtheforecastisdonewith1-2lead-times.Comparingthemonitoringandforecastingresults,theforecastingaccuraciesoftheAR(1)modelsarebetter,andtheaccuraciesofthe1lead-timearelessthanthoseofthe2lead-times.TheVTCIseriesofpixelsinthewholestudyareaarefittedbytheselectedbestmodels.Comparingthefittingdatawiththehistoricaldata,theresultsshowthatVTCIseriesarebetterfittedbyAR(1)models.Mostofthesimulatingerrorsaresmall.AlltheseresultsdemonstratethatAR(1)modelsaresuitablefordroughtforecastingusingtheVTCIseries.",,DroughtForecastingwithVegetationTemperatureConditionIndex,关键词:VTCI序列/ARIMA模型/干旱预测/预测误差/拟合误差,,基于条件植被温度指数的干旱预测研究,http://ch.whu.edu.cn:80/article/id/1074
"摘要:研究了利用月球表面的数字高程模型和对应的卫星影像;分析了遥感图像像元亮度值与光辐射照度、月面地形(像元地面坡度、坡向)之间的定量关系;研究了月面遥感数字图像地形辐射改正的原理方法并实现月面遥感数字图像的地形辐射改正,生成无阴影正射月表遥感图像。",Keywords:lunarsurface/remotesensingimage/topographiccorrection/shadowremoval,"Abstract:Inlunarremotesensingimageries,irregularterraincausesthechangeofrelativeorientationbetweenimagepixelsandsolarradiance.Itistopographicinfluencesthatleadtovarioussolarradiancereceivedbyslopesurface,furthertovariousvaluesofpixelsinlunarremotesensingimageries.Topographiccorrectionoflunarremotesensingimageistoproduceortho-rectificationremotesensingimagebycorrectingthevaluesofpixelsonslopesurfacetothatonhorizontalsurfaceinthesamesolarcondition(withsameincidence/extendanglesanddistances).Inthispaper,thetheoryoftopographiccorrectionoflunarremotesensingimagerieshasbeenproposed,andtherelationshipbetweenvaluesofpixelsandterrain(includingslopeandaspect)hasbeenquantitativelyanalyzed.Anexperimentoflunarremotesensingdatademonstratedthesatisfiedcorrectionresults.",,ResearchofRadiantTopographicCorrectionTheoryforLunarSurfaceRemoteSensingImageries,关键词:月球表面/遥感图像/地形辐射改正/阴影消除,,月球表面遥感图像的地形辐射改正原理研究,http://ch.whu.edu.cn:80/article/id/1073
"摘要:提出了一个“边界点”的新概念,并引用正态分布中大于3倍标准差的事件为小概率事件,作为图像分割中边界点“捡起”或“卸下”的依据。与其他方法相比,能使“捡起”、“卸下”的决策计算大大简化。通过对两幅航空影像的分割实验表明,新方法的分割效果是好的,是一个很有实用潜力的图像分割方法。",Keywords:imagesegmentation/attractor/boundarypoint,"Abstract:Thispaperputsforwardanewconceptabout""boundarypoint"".Theeventinnormaldistributionthatgreaterthanthricestandarddeviationisusedasasmallprobabilityeventandtakesthemastheevidenceofboundarypointfor""pickup""and""dropdown""inimagesegmentation.Comparedwithothermethods,itmakesdecisionmakingcomputationof""pickup""and""dropdown""simplifiedgreatly.Theexperimentsontwopicturesofairimageshowthatthesegmentationeffectofnewmethodiseffectiveanditisamethodofimagesegmentationwithgreatpractical.",,ResearchAboutNewMethodofImageSegmentationBasedonAttractor,关键词:图像分割/吸引子/边界点,,基于吸引子的图像分割新方法的研究,http://ch.whu.edu.cn:80/article/id/1082
"摘要:提出了利用最小二乘支持向量机(LS-SVM)构造海底趋势面,利用该趋势面对海洋测深异常值进行剔除的方法,并与趋势面滤波进行了分析和比较,用定理证明趋势面滤波只是LS-SVM取特定参数时的解。实测算例表明,通过调整LS-SVM的参数,使其构造的趋势面更合理,从而有效地剔除测深异常值。",Keywords:LS-SVM/trendsurfacefilter/weightparameters/outliers,"Abstract:Inordertosolvetheproblemoftrendsurfaceconformation,anewmethodofconstructingtrendsurfacebyLS-SVMispresented,andthenoutliersofMulti-beamdatacouldbeeliminatedbythetrendsurface.Inordertoilluminatethecorrectnessandrationalitysoacontrastbetweenthismethodandtheapproachoftrendsurfacefilter.ThetheoremprovesthatthetrendsurfacefilteristheespecialresultofLS-SVM.TheexampleshowsthatintheprocessofconstructingtrendsurfacebyLS-SVM,theweightparameterscouldbeadjusted,sothetrendsurfacehavethepropertyofpopularandsteady,theoutliersofMulti-beamdatacouldbeeliminatedeffectively.",,ApplicationofLeastSquareSupportVectorMachinetoDetectingOutliersofMulti-beamData,关键词:最小二乘支持向量机(LS-SVM)/趋势面滤波/权重系数/测深异常值,,最小二乘支持向量机在海洋测深异常值探测中的应用,http://ch.whu.edu.cn:80/article/id/1072
"摘要:介绍了白水河滑坡的地质环境和监测系统。将滑坡变形看作是时间和地下水位的函数,使用泰勒级数建立滑坡变形与时间和地下水位的函数关系,并将泰勒级数的余项及时间变化的二次方和地下水位变化的二次方的系数的变化量等看作数学期望为0的动态噪声,建立了卡尔曼滤波模型,并用于滑坡变形的预测预报。实例计算表明,模型的拟合效果和预测效果较好。",Keywords:monitor/groundwaterlevel/dynamicnoise/Kalmanfilter/forecastmodel,"Abstract:ThegeologicenvironmentandmonitoringsystemofBaishuihelandslideareintroduced.Thedeformationofthelandslideisregardedasthefunctionofthetimeandthegroundwaterlevel,andTaylorseriesisusedtoerectthefunctionalrelationshipofthedeformationtothetimeandthegroundwaterlevel,theremaindertermofTaylorseriesandthevariationofcoefficientsofsecondpowerofthevariationofthetimeandsecondpowerofthevariationofthegroundwaterlevelareregardedasdynamicnoiseswhosemathematicalexpectationare0toerectKalmanfiltermodelandpredictthedeformationofthelandslide.Anexampleofcalculationshowsthatthefittedeffectandtheforecasteffectofthemodelarebetter.",,ApplicationofKalmanFilterModelConsideringGroundwaterLevelFactorstoLandslideDeformationForecast,关键词:监测/地下水位/动态噪声/卡尔曼滤波/预测模型,,顾及地下水位因子的卡尔曼滤波模型在滑坡变形预测中的应用,http://ch.whu.edu.cn:80/article/id/1084
"摘要:利用重力梯度反演局部地形可获取较高的反演精度。传统地形反演算法以大尺度离线反演为主,不便于算法移植和与其他系统的组合。研究了利用卡尔曼滤波对潜艇周围局部地形进行反演的方法。重点在地形坡度理论基础上对卡尔曼滤波系统误差方程建模,介绍了详细的推导过程。仿真结果证实了该误差模型的有效性。",Keywords:Kalmanfilter/gravitygradient/topographyestimation/slope,"Abstract:Usinggravitygradientdatatoestimatelocalterraincangetaperfectprecision.Buttraditionalestimationalgorithmsaremainlyforlarge-scaleandinanoff-lineway,whichhavehinderedthemfromtransplantingandcombiningwithotherdatasource.Thispaperstudiedabathymetryestimationalgorithmbasedonkalmanfilter,andfocusedonitssystemerrorequationmodelingbyintroducingterrainslopetheory.Terrainslopeandthosestatisticalmethodsareequivalentindescribingterraincorrelation,butcomparedwiththosestatisticalmethods,theformerreducedcomplexityofthemodel.Thebiggestadvantageofthenewmodelisthatitavoidsthelackoftheoreticalbasiswhenstatisticalmethodsdeterminestatisticalparameters,consequently,furtherimprovesadaptabilityofestimationalgorithm.",,ErrorEquationModelingofBathymetryPredictionAlgorithmBasedonKalmanFilter,关键词:卡尔曼滤波/重力梯度/地形反演/坡度,,卡尔曼滤波地形反演算法的系统方程建模,http://ch.whu.edu.cn:80/article/id/1083
"摘要:一般相位解缠算法通常在相位解缠前首先需要借助滤波算法进行噪声消除,随后才能相位解缠,以保证解缠的质量和顺利实施。卡尔曼滤波将相位解缠问题转化为状态估计问题,实现相位解缠与噪声消除一并处理,简化了数据处理过程。利用真实干涉SAR数据进行实验,采用卡尔曼滤波相位解缠算法进行处理,并与其他几种较常用相位解缠算法的结果从目视和定量两方面进行比较和分析。验证了卡尔曼滤波相位解缠方法在滤波和解缠效果方面的有效性和可行性,可以获得较为可靠的解缠结果。",Keywords:InSAR/phaseunwrapping/Kalmanfilter/algorithmcomparison/resultanalysis,"Abstract:Thegeneralphaseunwrappingalgorithmusuallyneedusesomefilteringalgorithmstoeliminatenoisefirstly,andthentophaseunwrapping,soastoensurethequalityofunwrappingandsuccessfulimplementation.TheKalmanFilterovercomesthisdrawbackandtransformsthephaseunwrappingproblemintostateestimateissuetodealwithphaseunwrappingandnoiseeliminatingatthesametime,simplifyingdataprocessing.UsingKalmanFilterphaseunwrappingmethodtodealwithrealInSARdata,itistocompareandanalyzeitsresultwiththeseofothercommonlyusedalgorithmsfrombothaspectofvisionandquantitation.ItisverifiedthatKalmanFilterphaseunwrappingalgorithmhaseffectivenessandfeasibilityintherespectofnoiserestrainingandunwrappingeffectanditcangainmorereliableunwrappingresult.",,KalmanFilterPhaseUnwrappingAlgorithmandComparisonandAnalysiswithOtherMethods,关键词:InSAR/相位解缠/卡尔曼滤波/算法比较/结果分析,,卡尔曼滤波相位解缠及其与其他方法的对比分析,http://ch.whu.edu.cn:80/article/id/1077
"摘要:在揭示测量升沉与总升沉存在差异的基础上,建立了GPS定位中心的诱导升沉模型。结合GPSRTK和姿态数据对模型进行了验证,分析了诱导升沉模型的精度和影响因素。数值计算表明,GPS定位中心的诱导升沉可达到dm级的量值,其变化影响着定位中心在垂向位置的归算。相对于横纵摇的测量精度而言,定位中心偏移值的测量精度对诱导升沉和总升沉的精度影响程度更大。",Keywords:hydrographicsurvey/measuredheave/inducedheave/realtimekinematicheight,"Abstract:Intermsoftheverticalpositionreductionforhigh-precisionpositioninginhydrographicsurvey,theheavefactorisstudiedinthispaper.Basedonthedifferencesbetweenmeasuredheaveandtotalheave,theinducedheavemodelisproposed.Then,withtheRTKheightandattitudedata,boththeaccuracyofinducedheaveestimatedbythismodelandtheeffectonthosearepresented.Numericalresultsindicatethatthevaluesofinducedheavecanachievethedecimeterlevel,whichcaninfluencetheinstantaneousheightofthepositioningcenter.Theaccuracyofinducedheaveandtotalheavecanbehigherbyimprovingtheaccuracyofthepositioningcenteroffsetmeasured,whichismoreimportantthanthoseofrollandpitchmeasured.",,HeaveofthePositioningCenterinHydrographicSurvey,关键词:海道测量/测量升沉/诱导升沉/RTK高程,,海道测量定位中心的升沉研究,http://ch.whu.edu.cn:80/article/id/1076
"摘要:针对GPS精密单点定位中观测值随机模型中没有考虑卫星钟差插值误差,提出了一种顾及卫星钟差插值误差的观测值随机模型。实验结果表明,对于精密单点定位中使用的卫星钟差节点时间间隔较大的产品(如5min),考虑钟差插值误差的观测值随机模型能够显著地削弱卫星钟差插值引起的误差,而对于使用卫星钟差节点时间间隔较小的产品(如30s),效果就不明显,符合GPS卫星钟差插值误差的特性。",Keywords:precisepointpositioning/satelliteclock/interpolationerror/stochasticmodel,"Abstract:InPresent,thereisnoconsiderationforGPSsatelliteclockinterpolationerrorintheobservationstochasticmodelinPrecisePointPositioning.Animprovedstochasticmodelconsideringthesatelliteclockinterpolationerrorhasbeenproposed.Experimentsshownthatthismodelcouldreducethesatelliteclockinterpolationerrordramaticallyforlargertimeintervalclockproduct(e.g.5min)whilehaslittleimprovementforsmalltimeintervalproduct(e.g.30s).TheresultaccordswiththecharacteristicofGPSsatelliteclockinterpolationerror.",,AnImprovedStochasticModelConsideringSatelliteClockInterpolationErrorinGPSPrecisePointPositioning,关键词:精密单点定位/卫星钟差/插值误差/随机模型,,顾及卫星钟差插值误差的GPS精密单点定位观测值随机模型,http://ch.whu.edu.cn:80/article/id/1079
"摘要:为了保证我国卫星导航系统在失去地面站支持条件下一定时间内维持导航定位能力,弥补区域布站在定轨几何结构及完好性监测方面的缺陷,我国全球卫星导航系统拟采用星间测距/通讯体制。给出了基于星间链路测量体制的分布式定轨算法,并用仿真数据进行了验证。结果表明,在一定数量星间测距链路支持条件下,采用Kalman滤波算法能够满足60dURE优于3m的星座自主定轨精度需求。",Keywords:autonav/inter-satellitelinks/distributedprocessing/broadcastephemeris,"Abstract:Inordertocontinuetoissuethebroadcastephemerisafterlosingthegroundlinkforsometime,theGNSSofourcountrydesignstoprovidethepayloadofcrosslinkrangingandcommunication.Theprecisionorbitdeterminationandintegritywithregionalstationdeployingcanalsobeimprovedbythiscrosslink.ThepaperpresentsadistributedKalmanfilteralgorithmofprecisionorbitdeterminationforinter-satelliterangemeasurement,andthevalidityofthismethodisverifiedbysimulatingtest.It'sshowedthat,Supportingbythesufficientnumberofinter-satellitelinks,abetterthan3meterUREprecisionofsatelliteorbitcanbemeetduring60day.",,TheDistributedProcessingAlgorithmforAutonomouslyUpdatingtheEphemerisofNavigationSatellitebyInter-SatelliteLinks,关键词:自主导航/星间链路/分布式处理/导航星历,,基于星间测距的分布式自主星历更新算法,http://ch.whu.edu.cn:80/article/id/1078
"摘要:根据多频数据组合原理,推导了组合观测值电离层比例因子与噪声比例因子的关系,分析了Compass码和相位的多种可能组合,从中选取3种线性无关的优化组合作为周跳检验量。所选检验量保持了周跳的整数特性,便于准确估计与修复周跳。利用Compass-M1实测数据进行的实验表明,基于优化组合可以探测出1周以上的所有周跳,在缺失历元较少和无电离层异常时可以准确估计与修复基本频率的周跳。",Keywords:compass/GNSS/cycleslip/multi-frequencydatacombination/,"Abstract:Basedonmulti-frequencydatacombinationtheory,therelationbetweenionospherescalefactorandnoisescalefactorofcombinedobservationwasderived.LotsofpossiblecombinationsofCompasscodesandcarrierphaseswereanalyzed,fromwhichthreelinearindependentoptimalcombinationswereselectedascyclesliptestquantities.Thesequantitieskeepcycleslipsasintegersandarehelpfultoaccuratelyestimateandrepairthem.ExperimentbasedonrealCompassdatashowsthat,byusingtheselectedoptimaltestquantities,allcycleslipsgreaterthan1cyclecanbedetected.Andcycleslipsonbasicfrequenciescanbeaccuratelyestimatedandrepaired,ifdatagapwasnotsolongandionosphereisquiet.",,OptimalMulti-frequencyDataCombinationforCompassCycleSlipDetectionandReparation,关键词:Compass/GNSS/卫星导航/多频组合/周跳探测与修复,,一种适于Compass周跳探测的三频数据优化组合,http://ch.whu.edu.cn:80/article/id/1071
"摘要:论证并试验证明了正交潮响应分析对潮汐潮流数据的时间长度的要求,得出理论最短数据时间长度为2d;但对于实测数据,要求在以全日潮为主的海区需7d以上数据,在以半日潮为主的海区需10d以上。对于一天到几天的数据,通过引入比例关系和改变模型中Δτ的取值,实现了对数据的建模分析。经对中国12个主要验潮站连续366d数据的试验验证,短期与长期(1a)数据分析结果相近,而与准调和分析相比较,正交潮响应分析具有较高的精度,且不存在良好天文观测日期的选择问题。",Keywords:shorttermdataoftideandcurrent/orthogonalresponseanalysis/quasi-harmonicanalysis,"Abstract:Therequirementoftideorcurrentdatalengthoforthogonalresponseanalysisisresearchedthroughtheoreticaldeductionandexperiment.Theresultsshowthatitrequiresatleast2day-lengthofidealdata.Butfortheactualobservations,itrequiresatleast7day-lengthdatainthediurnaltidedominatedarea,and10daysinthesemi-diurnaltidedominatedarea.Towardsashortertermdatathandescribedabove,animprovedmodeloforthogonalresponseanalysisisfoundandusedtoanalysisthistypeofdatathroughintroducingratioofparametersandchangingthevalueofΔτ.Theresultofexperimentusing366groupsofdataat12stationsinChina,whichcontains1day-lengthdataineachgroup,showedthattheparameterscalculatedfromshorttermdataareclosetotheonesfromlongtermdata(annualdata).Finally,acomparisonbetweenorthogonalresponseanalysisandquasi-harmonicanalysisforshorttermdataisstudiedthroughboththeoreticaldeductionandexperiment.Theresultsshowedthattheformeronehasahigherprecisionanddoesnothavetotakegoodastronomicdateintoaccount.",,ResearchonOrthogonalResponseAnalysisofTideandCurrentUsingShortTermData,关键词:短期潮汐潮流数据/正交潮响应分析/准调和分析,,短期潮汐潮流数据的正交潮响应分析研究,http://ch.whu.edu.cn:80/article/id/1070
"摘要:利用对偶四元数研究运动载体和目标之间相对运动的单目算法大多是仿真验证,缺乏实验验证。针对这些不足,在James方法的基础上,扩展了状态量,推导了相应的系统模型和观测模型,组成新的滤波方程。匀速旋转的转台实验验证了改进算法的优越性。",Keywords:monocularcamera/dualquaternion/EKF/poseestimation,"Abstract:Inordertoestimatepositionandorientationofobject,anEKFmethodbasedondualquaternionfrommonocularcamerawasinvestigated.AnimprovedEKFmethodbasedonJamesmethodwasproposed.IntheEKF,relativetranslationandrotationsecondderivationsoftheobjectwereaddedasstateassignment.Objectlinesaremeasuredvariables,whichweretransformedbetweencoordinateframesbydualquaternion.Correspondingsystemmodelandmeasurementmodelwerededuced.Atthesametime,somemistakesinJamesmethodwererectified.Experimenttestsusingturntabletodemonstraterelativemotionandpositionweredone.Actualexperimentaldataofrotationataconstantspeedof20/sshowthattheimprovedmethodgetalmostthesameprecisionofposeestimationasJamesmethod.Whileactualexperimentaldataof40/sshowthattheimprovedmethodcangetbetterprecisionandrobustness.",,PoseEstimationofMovingObjectbased-onDualQuaternionfromMonocularCamera,关键词:单目视觉/对偶四元数/扩展卡尔曼滤波/位姿确定,,单目视觉下基于对偶四元数的运动目标位姿确定,http://ch.whu.edu.cn:80/article/id/1069
